author_name,3gram1,3gram2,3gram3
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
CarlosCastillo10,comentando la linea,la linea 32,linea 32 de
HappyTreeBeard,update file naming,file naming convention,naming convention use
muppet9010,addremove groups with,groups with settings,with settings change
jz0001,started rendering search,rendering search results,search results in
jz0001,able to render,to render cards,render cards if
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
outage-scrapers,lgekuoutages 1 outage,1 outage added,outage added 3
Chris Mikstas,added handlebars pages,handlebars pages for,pages for required
Renovate Bot,choredeps update spring,update spring core,spring core to
mauronofrio matarrese,adding realme x2,realme x2 decryption,x2 decryption key
Bjoern Kerler,merge pull request,pull request 31,request 31 from
LXing,fix errors removed,errors removed loading,removed loading card
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
AdrianValenciaSantos,final updates for,updates for mobile,for mobile format
Michael Skowronski,qa scripts 25,scripts 25 the,25 the intention
Daryn Sharp,hadoop10146 workaround jdk7,workaround jdk7 process,jdk7 process fd
Jason Darrell Lowe,mapreduce5672 provide optional,provide optional rollingfileappender,optional rollingfileappender for
Brandon Li,backported hadoop10125 to,hadoop10125 to branch2,to branch2 update
Jason Darrell Lowe,moving mr5672 from,mr5672 from bugs,from bugs to
Colin McCabe,hdfs5784 reserve space,reserve space in,space in edit
Sanford Ryza,yarn1496 protocol additions,protocol additions to,additions to allow
Sanford Ryza,mapreduce5650 job fails,job fails when,fails when hprof
Jing Zhao,hdfs5794 fix the,fix the inconsistency,the inconsistency of
Jing Zhao,move hdfs5704 and,hdfs5704 and hdfs5777,and hdfs5777 to
Alejandro Abdelnur,hadoop10235 hadoop tarball,hadoop tarball has,tarball has 2
Jason Darrell Lowe,mapreduce5717 task pings,task pings are,pings are interpreted
Haohui Mai,hdfs5758 namenode complete,namenode complete implementation,complete implementation of
Chris Nauroth,hadoop10240 windows build,windows build instructions,build instructions incorrectly
Haohui Mai,hdfs5612 namenode change,namenode change all,change all permission
Brandon Li,update hadoopcommonchangestxt for,hadoopcommonchangestxt for hadoop10112,for hadoop10112 in
Tsz-wo Sze,hdfs5786 support query,support query and,query and finalize
Tsz-wo Sze,merge r1555021 through,r1555021 through r1559304,through r1559304 from
Chris Nauroth,merge trunk to,trunk to hdfs4685,to hdfs4685 gitsvnid
Tsz-wo Sze,hdfs5800 fix a,fix a typo,a typo in
Chris Nauroth,hadoop10213 fix bugs,fix bugs parsing,bugs parsing acl
Alfredo Castillo,cleanup model constructors,model constructors and,constructors and fixed
Ryan Burn,add test coverage,test coverage for,coverage for other
Jake Witcher,fix type in,type in languageconfigurationjson,in languageconfigurationjson of
IOhacker,adding a better,a better way,better way to
Ido Ben-Hur,revert msm8998common overlay,msm8998common overlay set,overlay set shift
Ido Ben-Hur,revert msm8998common overlay,msm8998common overlay enable,overlay enable burn
Ido Ben-Hur,revert msm8998 enable,msm8998 enable burn,enable burn in
Renovate Bot,choredeps update typescripteslint,update typescripteslint monorepo,typescripteslint monorepo to
NewsTools,created text for,text for url,for url nationaldailyngcomgeneratorsfiredestroyskaramarketinlagos
john gravois,add info for,info for prospective,for prospective esri
Lauren Boyd,merge pull request,pull request 342,request 342 from
Thomas LaFreniere,subscription confirmation profile,confirmation profile active,profile active subscriptions
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Zachary Jacobs,automatically backed up,backed up by,up by learn
Pakeji,commit january 01,january 01 2020,01 2020 004606
Ri Xin Yang,automatically backed up,backed up by,up by learn
Jerry014a,learning modules and,modules and basics,and basics of
Ben Saufley,update codeclimate coverage,codeclimate coverage reporter,coverage reporter try
Enmotus-Dave-Cohen,merge branch master,branch master of,master of httpsgithubcomdavidcohendiskspd
David Cohen,merge pull request,pull request 21,request 21 from
David Cohen,merge pull request,pull request 22,request 22 from
Dimitrios Grammatikogiannis,merge branch master,branch master of,master of githubcomdgrammatikoformally
Robert Scott,pythonpackagesunicorn redesign to,redesign to become,to become a
Pakeji,commit january 01,january 01 2020,01 2020 004608
simerplaha,129 java persistentmap,java persistentmap and,persistentmap and set
simerplaha,129 removed compact,removed compact dependency,compact dependency from
simerplaha,129 added iostream,added iostream and,iostream and futurestream
simerplaha,129 fixing 211,fixing 211 build,211 build wip
LuisFrag,create boardexception and,boardexception and defensive,and defensive programing
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
wmay,add 2019 2nd,2019 2nd quarter,2nd quarter wfml
Ri Xin Yang,automatically backed up,backed up by,up by learn
github username,added id to,id to search,to search method
Thomas de Zeeuw,add tests for,tests for the,for the registration
Thomas de Zeeuw,port tests for,tests for udpsocket,for udpsocket from
Thomas de Zeeuw,check that udpsocket,that udpsocket is,udpsocket is nonblocking
Thomas de Zeeuw,port tests for,tests for tcpstream,for tcpstream from
Thomas de Zeeuw,port tests for,tests for tcplistener,for tcplistener from
Thomas de Zeeuw,ignore flaky tcpstream,flaky tcpstream shutdownwrite,tcpstream shutdownwrite test
Thomas de Zeeuw,set accepted tcpstreams,accepted tcpstreams in,tcpstreams in nonblocking
Thomas de Zeeuw,disable tcplistener deregister,tcplistener deregister test,deregister test on
Thomas de Zeeuw,make tcplistenertryclone tests,tcplistenertryclone tests more,tests more robust
Thomas de Zeeuw,loosen tcpstream shutdown,tcpstream shutdown reading,shutdown reading side
Thomas de Zeeuw,ignore connection reset,connection reset error,reset error in
Thomas de Zeeuw,disable tcplistenertryclone tests,tcplistenertryclone tests on,tests on windows
Thomas de Zeeuw,fix tcpstreams shutdownboth,tcpstreams shutdownboth tests,shutdownboth tests on
Thomas de Zeeuw,ignore tcpstream smoke,tcpstream smoke tests,smoke tests on
Thomas de Zeeuw,ignore tcpstream nodelay,tcpstream nodelay test,nodelay test on
Thomas de Zeeuw,ignore some udpsocket,some udpsocket tests,udpsocket tests on
Thomas de Zeeuw,add tcp server,tcp server example,server example its
Thomas de Zeeuw,drop test prefix,test prefix from,prefix from test
Dmitrii Goriunov,if connection closed,connection closed we,closed we still
Tomas Janousek,bridge fix hwaddr,fix hwaddr set,hwaddr set race
elangovan sivanandam,merge pull request,pull request 2380,request 2380 from
Pakeji,commit january 01,january 01 2020,01 2020 004610
Zachary Jacobs,automatically backed up,backed up by,up by learn
James Cathcart,wip not receving,not receving token,receving token 401
d3j331,fixed line ending,line ending fro,ending fro json
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Pakeji,commit january 01,january 01 2020,01 2020 004613
ChrisH,add line break,line break toward,break toward poster
aqi-moscun,update file at,file at 20200101,at 20200101 004614
Pakeji,commit january 01,january 01 2020,01 2020 004615
dependabot-preview[bot],bump typesnode from,typesnode from 121218,from 121218 to
y-yagi,merge pull request,pull request 69,request 69 from
wadegguerin,merge pull request,pull request 1,request 1 from
Tetsu Yamazaki,added 組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加,組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加 changed,プロジェクトメンバーリポジトリを追加 changed ユーザーが閲覧権限を持つプロジェクトのみ検索できるように制限
SharkFin,update spacing single,spacing single tab,single tab double
NewsTools,created text for,text for url,for url nationaldailyngcomfasholaducksbestministersawardinbuharisgovernment
Pakeji,commit january 01,january 01 2020,01 2020 004617
Snoopy Crime Cop,update master submodules,master submodules repository,submodules repository omeomeroplugins
Snoopy Crime Cop,merge master dorg,master dorg snone,dorg snone pr
Snoopy Crime Cop,merge master dorg,master dorg snone,dorg snone repository
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Jairo Llopis,fix website do,website do not,do not fail
Yoshi Tashiro,imp l10njp covering,l10njp covering new,covering new tax
Nicolas Lempereur,fix webeditor revert,webeditor revert update,revert update attribute
Pakeji,commit january 01,january 01 2020,01 2020 004619
Pete Higgins,add spellcheck task,spellcheck task for,task for api
Pete Higgins,fix spellcheck failures,spellcheck failures for,failures for api
Pete Higgins,add spellcheck for,spellcheck for dev,for dev docs
Pete Higgins,fix spellcheck errors,spellcheck errors in,errors in dev
Pakeji,commit january 01,january 01 2020,01 2020 004621
Robert Long,dont use the,use the creator,the creator attribution
ardnew,rename version class,version class to,class to prevent
lipenghui,add document for,document for sticky,for sticky consumer
tuteng,websiteadd content of,content of pulsarmanager,of pulsarmanager in
Sijie Guo,cli add a,add a broker,a broker tool
Pierre Zemb,bump lombok version,lombok version to,version to allow
tuteng,fix pulsarmanager download,pulsarmanager download link,download link 5774
belinda-wong,docs fix link,fix link issue,link issue for
Masahiro Sakamoto,fix bug that,bug that beforeconsume,that beforeconsume of
Reugn,add murmur332hash private,murmur332hash private constructor,private constructor 5765
Sunkwan Kwon,fixes 5626 5627,5626 5627 if,5627 if killafteridlems
congbo,add documentation for,documentation for hdfs,for hdfs offload
冉小龙,reopenissue 5597retry when,5597retry when getpartitionedtopicmetadata,when getpartitionedtopicmetadata failed
belinda-wong,docs fix link,fix link issue,link issue for
Sunkwan Kwon,issue 5589pulsarfunctiongo fix,5589pulsarfunctiongo fix a,fix a memory
congbo,modify the logical,the logical for,logical for getting
Masahiro Sakamoto,bump jackson libraries,jackson libraries to,libraries to 2101
congbo,issue 5562docsmodify schema,5562docsmodify schema compatibility,schema compatibility check
冉小龙,issue5787 fix docs,fix docs for,docs for creating
冉小龙,issue5687 add prefix,add prefix for,prefix for new
ntysdd,fix potential npe,potential npe and,npe and repeated
冉小龙,update website for,website for 242,for 242 release
Pakeji,commit january 01,january 01 2020,01 2020 004623
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdenvironmentpr120100bootgkeproductionmaster1log
Mariia Pecherytsia,reset and start,and start new,start new project
ejelome,replace theme with,theme with homepage,with homepage added
Francesco Litrico,made some commands,some commands more,commands more userfriendly
Pakeji,commit january 01,january 01 2020,01 2020 004625
Jairo Llopis,fix website do,website do not,do not fail
Yoshi Tashiro,imp l10njp covering,l10njp covering new,covering new tax
Nicolas Lempereur,fix webeditor revert,webeditor revert update,revert update attribute
Pakeji,commit january 01,january 01 2020,01 2020 004626
CreamyGlue,apples and oranges,and oranges java,oranges java explained
Pakeji,commit january 01,january 01 2020,01 2020 004628
NewsTools,created text for,text for url,for url nationaldailyngcomangryprotestersinvadeusembassyoverairstrikesiniraq
Test Author,new pr to,pr to test,to test signcla
quantum9Innovation,i knew you,knew you wouldnt,you wouldnt believe
Bamboo CI,automated build in,build in bamboo,in bamboo ci
Jack Howard,basic webpack react,webpack react babel,react babel setup
Jack Howard,build for webpack,for webpack folder,webpack folder build
Jack Howard,merge pull request,pull request 4,request 4 from
Keyi Zhang,test windows build,windows build skip,build skip travis
Adrian Ancona Novelo,finish article about,article about postgresql,about postgresql user
Lorenzo Mangione,direction offsets and,offsets and related,and related bugfix
Ben Saufley,update codeclimate coverage,codeclimate coverage reporter,coverage reporter try
mklewandowski,add tool to,tool to export,to export graph
Jorge Pinna Puissant,fix base website,base website debug,website debug assets
Goffin Simon,fix lunch the,lunch the lunch,the lunch mail
Yoshi Tashiro,imp l10njp covering,l10njp covering new,covering new tax
Andrew Asplund,updated assignment expanded,assignment expanded dom,expanded dom manipulation
wmayer,declare getmdiview and,getmdiview and getmdiviewpage,and getmdiviewpage as
wmayer,set explicit utf8,explicit utf8 encoding,utf8 encoding for
wmayer,gui add virtual,add virtual method,virtual method containsviewprovider
wandererfan,tdfix 4234 initial,4234 initial display,initial display of
wandererfan,tdadjust symbol location,symbol location for,location for font
PushKK,skip ci update,ci update femruts,update femruts fix
Rajendra Pardeshi,issue id 0004230,id 0004230 fixing,0004230 fixing a
"Zheng, Lei",partdesign fix subshapebinder,fix subshapebinder lost,subshapebinder lost of
"Zheng, Lei",partdesign improve subshapebinder,improve subshapebinder transformation,subshapebinder transformation cache
wmayer,partdesign skip ci,skip ci replace,ci replace int
wandererfan,tdfix potential nullptr,potential nullptr while,nullptr while restoring
WandererFan,tdadd arrow style,arrow style pyramid,style pyramid contributed
WandererFan,tdsupport pyramid arrow,pyramid arrow in,arrow in leader
"Zheng, Lei",gui fix viewproviderdocumentobject,fix viewproviderdocumentobject display,viewproviderdocumentobject display mode
"Zheng, Lei",app fix expression,fix expression movecells,expression movecells the
wmayer,spreadsheet skip ci,skip ci fix,ci fix inconsistent
Renovate Bot,update dependency orgclojurejavajdbc,dependency orgclojurejavajdbc to,orgclojurejavajdbc to v0711
Haokang Den,merge pull request,pull request 14,request 14 from
Renovate Bot,update dependency orgxerialsqlitejdbc,dependency orgxerialsqlitejdbc to,orgxerialsqlitejdbc to v3301
Weicheng Xue,finish running cases,running cases using,cases using limiters
dsl,revert corrected a,corrected a bug,a bug for
dsl,revert relaxed the,relaxed the restriction,the restriction for
dsl,removed code for,code for restricting,for restricting word
wmayer,declare getmdiview and,getmdiview and getmdiviewpage,and getmdiviewpage as
wmayer,set explicit utf8,explicit utf8 encoding,utf8 encoding for
wmayer,gui add virtual,add virtual method,virtual method containsviewprovider
wandererfan,tdfix 4234 initial,4234 initial display,initial display of
wandererfan,tdadjust symbol location,symbol location for,location for font
PushKK,skip ci update,ci update femruts,update femruts fix
Rajendra Pardeshi,issue id 0004230,id 0004230 fixing,0004230 fixing a
"Zheng, Lei",partdesign fix subshapebinder,fix subshapebinder lost,subshapebinder lost of
"Zheng, Lei",partdesign improve subshapebinder,improve subshapebinder transformation,subshapebinder transformation cache
wmayer,partdesign skip ci,skip ci replace,ci replace int
wandererfan,tdfix potential nullptr,potential nullptr while,nullptr while restoring
WandererFan,tdadd arrow style,arrow style pyramid,style pyramid contributed
WandererFan,tdsupport pyramid arrow,pyramid arrow in,arrow in leader
"Zheng, Lei",gui fix viewproviderdocumentobject,fix viewproviderdocumentobject display,viewproviderdocumentobject display mode
"Zheng, Lei",app fix expression,fix expression movecells,expression movecells the
wmayer,spreadsheet skip ci,skip ci fix,ci fix inconsistent
wigforss,mavenreleaseplugin prepare for,prepare for next,for next development
dependabot[bot],bump handlebars from,handlebars from 412,from 412 to
Brandon,merge pull request,pull request 1,request 1 from
Aaron Jackson,cleaning up tests,up tests fixing,tests fixing a
Aaron Jackson,removing test debug,test debug code,debug code adding
Aaron Jackson,removing unused imports,unused imports moving,imports moving nesperexamples
Aaron Jackson,updated all projects,all projects to,projects to net462
Aaron Jackson,modifications to umask,to umask modifications,umask modifications to
NewsTools,created text for,text for url,for url nationaldailyngcomokorochareactstoallegedriftwithoshiomhole
Marco Castelluccio,bug 409974 addresses,409974 addresses in,addresses in autocomplete
Marco Castelluccio,bug 413937 please,413937 please add,please add cant
Marco Castelluccio,bug 423750 change,423750 change name,change name to
Marco Castelluccio,bug 426660 allow,426660 allow firefox,allow firefox themes
Marco Castelluccio,bug 420416 artifacts,420416 artifacts in,artifacts in some
Marco Castelluccio,check for signing,for signing log,signing log over
Marco Castelluccio,bug 317472 save,317472 save custom,save custom encoding
Marco Castelluccio,bug 421483 reorganize,421483 reorganize prepopulated,reorganize prepopulated smart
Marco Castelluccio,additional checkin for,checkin for bug,for bug 421922
Marco Castelluccio,bug 423833 show,423833 show only,show only this
Marco Castelluccio,fallback to nullpadding,to nullpadding in,nullpadding in nsmimeheaderparamgetparameter
Marco Castelluccio,bug 423833 show,423833 show only,show only this
Marco Castelluccio,bug 420499 caret,420499 caret browsing,caret browsing mode
Marco Castelluccio,bug 231754 pressing,231754 pressing updown,pressing updown should
Marco Castelluccio,bug 427408 browserbookmarksautoexporthtml,427408 browserbookmarksautoexporthtml has,browserbookmarksautoexporthtml has no
Marco Castelluccio,reftests for bug,for bug 423998,bug 423998 ultrablame
Marco Castelluccio,reftests for bug,for bug 423998,bug 423998 ultrablame
Marco Castelluccio,reftests for bug,for bug 423998,bug 423998 ultrablame
Marco Castelluccio,dont let columns,let columns with,columns with no
Marco Castelluccio,bug 407845 nscookieservicefindcookie,407845 nscookieservicefindcookie shouldnt,nscookieservicefindcookie shouldnt return
dhon2407-pc,cooking checkpoint 4,checkpoint 4 refactoring,4 refactoring and
Brokalys bot,monthly price per,price per sqm,per sqm data
cgschu1tz,plugins were a,were a giant,a giant waste
Jack Zhang,edited introductory post,introductory post and,post and added
Jack Zhang,merge pull request,pull request 2,request 2 from
Angel Fernando Quiroz Campos,lti allow multiple,allow multiple lineitems,multiple lineitems for
Gilberto Placidon,add files via,files via upload,via upload implemented
Juliano Dorigão,menubg signedoffby juliano,signedoffby juliano dorigão,juliano dorigão jdorigaogmailcom
Jorge Pinna Puissant,fix base website,base website debug,website debug assets
Goffin Simon,fix lunch the,lunch the lunch,the lunch mail
Yoshi Tashiro,imp l10njp covering,l10njp covering new,covering new tax
Ethan Ruszanowski,merge pull request,pull request 26,request 26 from
Colin,remove dependency on,dependency on aws,on aws dockerhub
Deployment Bot,publishing to ghpages,to ghpages wed,ghpages wed jan
AboveTheChemist,update repairmants 66,repairmants 66 updated,66 updated elements
Renovate Bot,update dependency javaxportletportletapi,dependency javaxportletportletapi to,javaxportletportletapi to v3
dan0x09,update adapters to,adapters to use,to use native
Peter Xu,add mocks for,mocks for requestpromisenative,for requestpromisenative by
Jeff Kowalski,add rubocopyml and,rubocopyml and address,and address rubocop
Erik Mackdanz,appbackupamanda disable sandboxviolating,disable sandboxviolating configure,sandboxviolating configure test
adityamaddala,set up ci,up ci with,ci with azure
Gerardo Salazar,add test cases,test cases for,cases for null
ejelome,replace theme with,theme with homepage,with homepage added
Pascal T,merge pull request,pull request 17,request 17 from
casey langen,allow for transcoder,for transcoder format,transcoder format selection
Kai Raphahn,feat create framework,create framework move,framework move bit
Kai Raphahn,feat create framework,create framework add,framework add tests
Kai Raphahn,feat create framework,create framework try,framework try to
Kai Raphahn,feat create framework,create framework remove,framework remove numpy
Kai Raphahn,feat create framework,create framework remove,framework remove numpy
Kai Raphahn,feat create framework,create framework encode,framework encode u32
Kai Raphahn,feat create framework,create framework add,framework add decoding
Kai Raphahn,feat create framework,create framework prepare,framework prepare test
Kai Raphahn,feat create framework,create framework redo,framework redo message
Kai Raphahn,feat create framework,create framework make,framework make test
Kai Raphahn,feat create framework,create framework use,framework use bytes
Kai Raphahn,feat create framework,create framework add,framework add command
Kai Raphahn,feat create framework,create framework prepare,framework prepare device
Melanie McGlynn,automatically backed up,backed up by,up by learn
Sridhar Ratnakumar,load blurb from,blurb from markdown,from markdown 5
jofsky,🐈 updating files,updating files for,files for working
jofsky,📦 updating files,updating files for,files for working
Tianon Gravi,add tls support,tls support in,support in 60
yosifkit,merge pull request,pull request 218,request 218 from
David Vo,fix ntproperty with,ntproperty with nondefault,with nondefault instance
Stephen Warneford-Bygrave,fixes for broken,for broken via,broken via download
macmule,merge pull request,pull request 56,request 56 from
Darren Wallace,update changed name,changed name and,name and updated
Darren Wallace,merge branch master,branch master of,master of httpsgithubcomautopkgdatajarrecipes
Neil Martin,whoops remove html,remove html extension,html extension from
Neil Martin,add sony sxs,sony sxs driver,sxs driver recipes
blensink192,update posts “,posts “ top10albumsof2010,“ top10albumsof2010 ”
Eniola Oyewole,added login capability,login capability added,capability added the
Yehonatan Hen,merge pull request,pull request 13,request 13 from
Yehonatan Hen,merge pull request,pull request 14,request 14 from
Guy Cohen,merge pull request,pull request 15,request 15 from
Guy Cohen,fix minutes add,minutes add to,add to db
Yehonatan Hen,merge pull request,pull request 16,request 16 from
Yehonatan Hen,merge pull request,pull request 17,request 17 from
Yehonatan Hen,merge pull request,pull request 18,request 18 from
Marcel Goldschen-Ohm,create a visual,a visual intro,visual intro to
Marcel Goldschen-Ohm,merge branch master,branch master of,master of httpsgithubcommarcelgoldschenohmneu337spring2020
unklebonehead,i am a,am a screw,a screw up
zqf,created basic files,basic files for,files for grid
zqf,implemented very basic,very basic drunken,basic drunken walk
zqf,improving on drunken,on drunken walk,drunken walk implementation
zqf,drunken walk now,walk now takes,now takes its
zqf,changed char on,char on cells,on cells to
zqf,tagging cells that,cells that are,that are the
zqf,merge branch procgen,branch procgen into,procgen into development
Renovate Bot,update dependency typesmongoose,dependency typesmongoose to,typesmongoose to v5537
GitHub,deploy from travis,from travis build,travis build 9319
Igor Dvorkin,updating weight for,weight for end,for end of
Rommel Haynes,automatically backed up,backed up by,up by learn
Juliano Dorigão,menubg signedoffby juliano,signedoffby juliano dorigão,juliano dorigão jdorigaogmailcom
Kirill Shcherbina,automatically backed up,backed up by,up by learn
Bernhard M. Wiedemann,update 000releasepackages to,000releasepackages to rev,to rev 377
Robert West,css class name,class name change,name change p
Michael Zuniga,fixed errors for,errors for net,for net framework
OPSTestProduction,create a file,a file xrefprodxrefmaptestbranchmasteryml,file xrefprodxrefmaptestbranchmasteryml at
OPSTestProduction,update file e2edocsbranchproddynamicindexmd,file e2edocsbranchproddynamicindexmd at,e2edocsbranchproddynamicindexmd at 20200101
Your Name,loganalytics retrieves information,retrieves information on,information on each
Your Name,script now waits,now waits the,waits the required
Mazdak Farrokhzad,matchexpressionarmpattern use more,use more generic,more generic wording
Mazdak Farrokhzad,show scrutinee expr,scrutinee expr type,expr type for
Mazdak Farrokhzad,matchexpressionarmpattern pattern current,pattern current name,current name is
Mazdak Farrokhzad,pass the span,the span of,span of init
Mazdak Farrokhzad,refactor and fix,and fix thisexpressionhastype,fix thisexpressionhastype note
Mazdak Farrokhzad,blame user type,user type in,type in pat
Charles Lew,add symbol normalization,symbol normalization for,normalization for procmacroserver
Charles Lew,inline and remove,and remove nfcsymbolfrom,remove nfcsymbolfrom method
Zac Medico,sysappsnvmecli remove old,remove old versions,old versions packagemanager
Zac Medico,sysappsnvmecli ci homepageinsrcuri,ci homepageinsrcuri packagemanager,homepageinsrcuri packagemanager portage2384
Leonardo Espinoza,cambio de nombre,de nombre a,nombre a estiloscss
Robin Bisho,refactored splitfilename and,splitfilename and added,and added testshs
Robin Bisho,added a prop,a prop for,prop for fileinfo
schwarze,when all cells,all cells in,cells in a
jsg,convert infinite msleep9,infinite msleep9 to,msleep9 to msleepnsec9
jsg,drm mst fix,mst fix querypayload,fix querypayload ack
Colin,remove dependency on,dependency on aws,on aws dockerhub
johan gace,update the book,the book challenge,book challenge for
Thomas Huybrechts,update target broker,target broker ip,broker ip address
simerplaha,generic persistentparser simplified,persistentparser simplified baseentryreader,simplified baseentryreader and
simerplaha,remove option and,option and use,and use null
blensink192,update posts “,posts “ top10albumsof2010,“ top10albumsof2010 ”
Ali Rizvi,rename getauthors to,getauthors to getdevelopers,to getdevelopers authors
Michael W. Olesen,merge pull request,pull request 10,request 10 from
Kailana Kahawaii,automatically backed up,backed up by,up by learn
khandgp1,first iteration of,iteration of the,of the backend
Yaiyan,add support for,support for angled,for angled labels
geekwise-korey-nichols,bugfix changed max,changed max length,max length for
geekwise-korey-nichols,update changed serializers,changed serializers for,serializers for customer
geekwise-korey-nichols,removed pagination from,pagination from settings,from settings for
Renovate Bot,choredeps update dependency,update dependency comgoogleapisgoogleapiservicescloudiot,dependency comgoogleapisgoogleapiservicescloudiot to
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdenvironmentpr120102gkeupgradestagingmaster1log
hww1996,添加新的member change的方法 43,change的方法 43 修复使用旧conf的bug,43 修复使用旧conf的bug bug
hww1996,merge branch master,branch master into,master into hww1996
GitHub Action,add data for,data for wed,for wed jan
SHRUTIKALOKHANDE,print the element,the element of,element of list
sthen,update to snail14916,to snail14916 from,snail14916 from maintainer
sthen,fix libdepends for,libdepends for idna,for idna flavour
sthen,minor update to,update to pyicalendar404,to pyicalendar404 move
Renovate Bot,choredeps update dependency,update dependency comgoogleapiclientgoogleapiclient,dependency comgoogleapiclientgoogleapiclient to
Renovate Bot,choredeps update dependency,update dependency comgoogleapisgoogleapiservicescloudresourcemanager,dependency comgoogleapisgoogleapiservicescloudresourcemanager to
Antimeuh2433,fixed weird thing,weird thing in,thing in maincpp
e99999,mostly recipe stuff,recipe stuff for,stuff for ic2c
e99999,moved pipes into,pipes into seperate,into seperate branch
e99999,added 2 more,2 more tiers,more tiers of
e99999,im back from,back from holiday,from holiday losers
e99999,messing with layered,with layered block,layered block textures
e99999,got layered block,layered block models,block models working
e99999,bedrock ores and,ores and bedrock,and bedrock miner
e99999,redid ores to,ores to be,to be deditcated
Mohsin Niazi,update to new,to new assignment,new assignment structure
Volodymyr Shcherbyna,release igel 221,igel 221 136,221 136 137
Renovate Bot,choredeps update dependency,update dependency comgoogleapiclientgoogleapiclient,dependency comgoogleapiclientgoogleapiclient to
Renovate Bot,choredeps update dependency,update dependency comgoogleapisgoogleapiservicesjobs,dependency comgoogleapisgoogleapiservicesjobs to
aqi-moscun,update file at,file at 20200101,at 20200101 004722
Binish Maharjan,merge pull request,pull request 32,request 32 from
ardnew,initial port of,port of c,of c to
confusdcodr,rename packages in,packages in travis,in travis to
Gregory O,merge pull request,pull request 3,request 3 from
Loren Gordon,adds encrypted deploy,encrypted deploy key,deploy key for
Gregory O,merge pull request,pull request 4,request 4 from
Gregory O,merge pull request,pull request 5,request 5 from
Gregory O,merge pull request,pull request 6,request 6 from
confusdcodr,add dependabot configurations,dependabot configurations fix,configurations fix makefile
Gregory O,merge pull request,pull request 8,request 8 from
dependabot-preview[bot],bump githubcomgruntworkioterratest from,githubcomgruntworkioterratest from 0190,from 0190 to
Gregory O,merge pull request,pull request 11,request 11 from
dependabot-preview[bot],bump githubcomgruntworkioterratest from,githubcomgruntworkioterratest from 0191,from 0191 to
Gregory O,merge pull request,pull request 12,request 12 from
Gregory O,merge pull request,pull request 13,request 13 from
dependabot-preview[bot],bump githubcomgruntworkioterratest from,githubcomgruntworkioterratest from 0193,from 0193 to
fxnoob,whatsapp web cli,web cli radhey,cli radhey radhey
Joshua Coales,fixing datetime checking,datetime checking download,checking download link
JE Low,found and fixed,and fixed an,fixed an issue
Paul-Davis,added code to,code to ignore,to ignore annotations
Paul-Davis,merge branch master,branch master of,master of githubcomwormbasewormbasepipeline
Renovate Bot,choredeps update dependency,update dependency comgoogleapiclientgoogleapiclient,dependency comgoogleapiclientgoogleapiclient to
Renovate Bot,choredeps update dependency,update dependency comgooglecloudlibrariesbom,dependency comgooglecloudlibrariesbom to
Huahai Yang,deployed 779fd04 with,779fd04 with mkdocs,with mkdocs version
Rebecca Wallander,c64cassxml update bmxracersa3,update bmxracersa3 actually,bmxracersa3 actually this
iwilliamson,fixes bug in,bug in intellivoice,in intellivoice for
David Haywood,new working clones,working clones 6115,clones 6115 new
ajrhacker,merge pull request,pull request 6113,request 6113 from
Alex Browne,move code out,code out of,out of gopath
Alex Browne,fix some inconsistencies,some inconsistencies in,inconsistencies in contributingmd
Alexander Solbrig,buildrecipe buildrecipe add,buildrecipe add rezept,add rezept hinzufügen
tommaso-sebastianelli,added toast after,toast after transaction,after transaction saveupdate
Loreina Chew,add status page,status page text,page text constants
RohitGarudadri,merge branch develop,branch develop into,develop into feature204loginbutton
Cong Fandi,change nama project,nama project android,project android studio
tduplantis83,changed home page,home page text,page text to
tduplantis83,added more random,more random background,random background images
Travis,merge pull request,pull request 197,request 197 from
Guangning,add diskusagethreshold to,diskusagethreshold to 099,to 099 5970
zuquan song,vagrantfile update for,update for build,for build dependency
Yong Zhang,fixes 5814 add,5814 add sentconnectframe,add sentconnectframe state
